sno,id,coursetitle,site,ispaid,price,subscribers,reviews,lectures,level,duration,subject
1,1070968,Ultimate Investment Banking Course,ultimate-investment-banking-course,TRUE,200,2147,23,51,All Levels,2,Business Finance
2,1113822,Complete GST Course and Certification - Grow Your CA Practice,goods-and-services-tax,TRUE,75,2792,923,274,All Levels,39,Business Finance
3,1006314,Financial Modeling for Business Analysts and Consultants,financial-modeling-for-business-analysts-and-consultants,TRUE,45,2174,74,51,Intermediate Level,3,Business Finance
4,1210588,Beginner to Pro - Financial Analysis in Excel 2017,complete-excel-finance-course-from-beginner-to-pro,TRUE,95,2451,11,36,All Levels,3,Business Finance
5,1011058,How To Maximize Your Profits Trading Options,how-to-maximize-your-profits-trading-options,TRUE,200,1276,45,26,Intermediate Level,2,Business Finance
6,192870,Trading Penny Stocks- A Guide for All Levels In 2017,trading-penny-stocks-a-guide-for-all-levels,TRUE,150,9221,138,25,All Levels,3,Business Finance
7,739964,Investing And Trading For Beginners- Mastering Price Charts,investing-and-trading-for-beginners-mastering-price-charts,TRUE,65,1540,178,26,Beginner Level,1,Business Finance
8,403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",trading-chart-patterns-for-immediate-explosive-gains,TRUE,95,2917,148,23,All Levels,3,Business Finance
9,476268,Options Trading 3 - Advanced Stock Profit and Success Method,day-trading-stock-options-3,TRUE,195,5172,34,38,Expert Level,3,Business Finance
10,1167710,The Only Investment Strategy You Need For Your Retirement,the-only-investment-strategy-you-need-for-your-retirement,TRUE,200,827,14,15,All Levels,1,Business Finance
11,592338,Forex Trading Secrets of the Pros With Amazons AWS,trading-with-amazons-aws-servers-trade-secrets-of-the-pros,TRUE,200,4284,93,76,All Levels,5,Business Finance
12,975046,Trading Options With Money Flow,trading-options-using-money-flow,TRUE,200,1380,42,17,All Levels,1,Business Finance
13,742602,Financial Management Risk and Return For Securities,risk-and-return-finance,TRUE,30,3607,21,19,All Levels,2,Business Finance
14,794151,Forex Trading Course- Work Smarter Not Harder Proven Results,the-complete-trading-course,TRUE,195,4061,52,16,All Levels,2,Business Finance
15,1196544,Python Algo Trading- Sentiment Trading with News,hedge-fund-strategy-trading-with-sentiment-analysis,TRUE,200,294,19,42,All Levels,7,Business Finance
16,504036,Short Selling- Learn To Sell Stocks Before The Fall,short-selling-learn-to-sell-before-the-fall,TRUE,75,2276,106,19,Intermediate Level,2,Business Finance
17,719698,Basic Technical Analysis- Learn the structure of the market,learn-basic-technical-analysis,TRUE,20,4919,79,16,Beginner Level,2,Business Finance
18,564966,The Complete Chart Pattern Trading Course- A Proven Approach,make-money-trading-stocks-from-home,TRUE,200,2666,115,52,All Levels,4,Business Finance
19,606928,7 Deadly Mistakes of Investing that Will Slash Your Profits,7-deadly-mistakes-of-investing,TRUE,50,5354,24,23,All Levels,2,Business Finance
20,58977,Financial Statements Made Easy,intro-to-financial-statements-for-entrepreneurs,TRUE,95,8095,249,12,Beginner Level,1,Business Finance
21,1242604,Winning Forex Trading with Live Forex Trading Examples,forexmacross,TRUE,200,809,3,25,All Levels,2,Business Finance
22,798740,Forex Traders - Create Your First Trading Robot No Coding,launch-your-amazing-forex-robot-in-30-minutes-no-coding,TRUE,200,2295,84,39,All Levels,4,Business Finance
23,506568,Create A Business From Home Trading Stocks Today In 2017,work-from-home-buying-penny-stocks,TRUE,75,10149,83,16,All Levels,2,Business Finance
24,1020760,Introduction to Accounting - Mastering Financial Statements,introduction-to-accounting-mastering-financial-statements,TRUE,50,1916,38,23,Beginner Level,1,Business Finance
25,859742,The Complete Ethereum Course- Get 01 Ether In Your Wallet,ethereum,TRUE,45,2507,333,40,All Levels,2,Business Finance
26,383414,Beginner to Pro in PowerPoint- Complete PowerPoint Training,powerpoint-master-class-for-business-and-finance-graduates,TRUE,150,5786,518,50,All Levels,5,Business Finance
27,353044,Investing 101- The Complete Online Investing Course,online-investing-guide,TRUE,200,5334,373,42,All Levels,5,Business Finance
28,447362,Create Your Own Hedge Fund- Trade Stocks Like A Fund Manager,create-your-own-hedge-fund-double-your-money-every-year,TRUE,175,4005,237,25,Intermediate Level,2,Business Finance
29,831066,Learn MQL5- Build an 8-Currency Hedging Robot MetaTrader 5,learn-mql5,TRUE,150,2877,103,81,All Levels,5,Business Finance
30,1266306,Forex Trading- Your Complete Guide to Get Started Like a Pro,forex-trading-your-complete-guide-to-get-started-like-a-pro,TRUE,140,1026,25,37,Beginner Level,3,Business Finance
31,1170894,Python Algo Stock Trading- Automate Your Trading,algorithmic-stock-trading-bootcamp-automate-your-trading,TRUE,95,1165,21,41,Beginner Level,3,Business Finance
32,948974,THE Forex Robot- Incredible ROI Robot Included,the-forex-robot-1000-annual-profit-robot-included,TRUE,200,1843,171,35,All Levels,2,Business Finance
33,380970,The Complete Bitcoin Course- Get 001 Bitcoin In Your Wallet,bitcoin-for-beginners,TRUE,45,8797,449,80,All Levels,7,Business Finance
34,1217778,Mastering High Probability Iron Condor Options Trading,mastering-high-probability-iron-condor-options-trading,TRUE,200,1030,11,22,All Levels,2,Business Finance
35,1246208,The Complete Short Course on Ethereum,ethereum1,TRUE,200,1041,12,28,All Levels,2,Business Finance
36,434774,Options Trading Stocks- Proven Toolbox For Financial Success,trading-stock-options-ii-simplified-strategies-for-success,TRUE,195,7884,118,68,Intermediate Level,10,Business Finance
37,308690,Forex Trading A-ZA„¢ - With LIVE Examples of Forex Trading,forex-trading,TRUE,195,16900,2476,52,Beginner Level,6,Business Finance
38,888716,"Introduction to Finance, Accounting, Modeling and Valuation",introduction-to-accounting-finance-modeling-valuation-by-chris-haroun,TRUE,200,11441,1118,61,All Levels,5,Business Finance
39,321410,Beginner to Pro in Excel- Financial Modeling and Valuation,beginner-to-pro-in-excel-financial-modeling-and-valuation,TRUE,195,22257,2697,138,All Levels,8,Business Finance
40,965832,The Complete Investment Banking Course 2017,the-complete-investment-banking-course-2016,TRUE,195,8575,809,110,All Levels,6,Business Finance
